id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
6214223,Góc Nhìn Sử Việt - Nghệ An Ký,Bùi Dương Lịch,available,"Nghệ An ký là một bộ sách nổi tiếng của Việt Nam, ra đời vào khoảng đầu thế kỷ XIX. Sách được biên soạn vô cùng công phu, phản ánh tương đối đầy đủ về lịch sử, địa lí, nhân vật, văn thơ… của trấn...",199000,69650,129350,35,0.0,0,"{'text': 'Đã bán 5', 'value': 5}",sach_lichsu_dialy,
5807897,Người Bana Ở KonTum,Nguyễn Đổng Chi,available,"Ba-na là một trong 54 dân tộc của Việt Nam. Đồng bào Ba-na phân bố chủ yếu ở khu vực Tây Nguyên nước ta, họ có những phong tục tập quán và nét sinh hoạt độc đáo, nền văn hóa phong phú và giàu bản...",130000,19500,110500,15,0.0,0,"{'text': 'Đã bán 13', 'value': 13}",sach_lichsu_dialy,Bìa mềm
158498831,Hoàng Sa Và Trường Sa Trong Lịch Sử Việt Nam,,available,"Sách giới thiệu những bài phát biểu, nghiên cứu về lĩnh vực biển đảo Việt Nam: vai trò, vị trí đặc biệt quan trọng trong sự nghiệp xây dựng và bảo vệ Tổ quốc. Hoàng Sa và Trường Sa trong lịch sử cũng...",160000,48000,112000,30,5.0,1,"{'text': 'Đã bán 11', 'value': 11}",sach_lichsu_dialy,Bìa mềm
46772871,Cuốn sách là tập 1 của bộ sách về Quan hệ Trung Quốc – Việt Nam thế kỷ XIV-XVII: Minh Thực Lục Tập 1,.,available,"
Minh Thực Lục là một bộ sử biên niên đồ sộ có độ dày hơn 40.000 trang gồm 3.053 quyển ghi chép về những sự kiện lớn nhỏ gần 300 năm của 13 triều vua nhà Minh - Trung Quốc (1368-1644), trong đó có...",500000,165000,335000,33,0.0,0,,sach_lichsu_dialy,
92004359,Sách - Biến Động (Jared Diamond),,available,"
 
 
  
   Sách - Biến Động (Jared Diamond)
   Bốn chương cuối mô tả những biến cố trong hiện tại và tương lai mà những kết quả vẫn còn là một ẩn số. Bắt đầu phần này với nước Nhật (chương 8), tiếp...",239250,0,239250,0,4.7,6,"{'text': 'Đã bán 28', 'value': 28}",sach_lichsu_dialy,
28301050,50 năm thực hiện Di chúc của Chủ tịch Hồ Chí Minh (Sách ảnh - Song ngữ),,available,,390000,0,390000,0,0.0,0,"{'text': 'Đã bán 2', 'value': 2}",sach_lichsu_dialy,Bìa mềm
186233067,Việt Nam Và Cuộc Chiến Trung Pháp,,available,"Việt Nam Và Cuộc Chiến Trung Pháp (Bìa Cứng)
Nguyên tác bằng tiếng Hoa, xuất bản tại Đài Loan năm 1996, là một biên khảo về cuộc tranh chấp Trung - Pháp vào cuối thế kỷ XIX - đầu thế kỷ XX, nhưng lại...",299000,0,299000,0,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",sach_lichsu_dialy,Bìa mềm
36380668,Áo dài Lemur và bối cảnh Phong Hóa & Ngày Nay - Tái bản lần 1,Phạm Thảo Nguyên,available,"Quyển sách nhỏ này động đến một giai đoạn lịch sử lớn, lớn về mọi mặt: chính trị, xã hội, phong hóa, ngôn ngữ, văn chương, báo chí, mỹ thuật - nói chung là văn hóa. Chỉ trong vòng mười lăm năm, từ...",114750,0,114750,0,4.8,18,"{'text': 'Đã bán 120', 'value': 120}",sach_lichsu_dialy,Bìa mềm
129138525,Sách -FactFullness Sự thật về thế giới,,available,"
 
 
  
   Thông tin chi tiết
   Tên Nhà Cung Cấp NXB Trẻ
   Tác giả: Hans Rosling Ola Rosling, Anna Rosling Rönnlund
   Người Dịch: Trần Thị Kim Chi, Hà Kim Ngân
   NXB: Trẻ
   Năm XB: 2019
  ...",136000,0,136000,0,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",sach_lichsu_dialy,
116971707,Sách-Combo khối C-Sổ tay Ngữ Văn+ Sổ tay Lịch sử + Sổ xã hội,,available,"
 
 
  
   Bộ 3 cuốn sách khối C gồm : Sổ tay Ngữ Văn+ Sổ tay Lịch sử + Sổ xã hội giúp các em chinh phục bài thi một cách trọn vẹn, giúp các em:
   - Lấp toàn bộ lỗ hổng kiến thức, nắm chắc, học...",499000,0,499000,0,5.0,1,"{'text': 'Đã bán 2', 'value': 2}",sach_lichsu_dialy,
160438843,[BỘ LỊCH SỬ VĂN MINH THẾ GIỚI] – DI SẢN PHƯƠNG ĐÔNG – phần I – gồm 3 tập - WILL DURANT –,,available,Bộ sách tôi lúc nào cũng muốn giới thiệu đến bạn. Dù gì thì gì trong nhà đều nên có. Đó là bộ sách LỊCH SỬ VĂN MINH THẾ GIỚI của ông bà Will và Ariel Durant. Cái kho tri thức tưởng như vô tận của...,645000,0,645000,0,0.0,0,"{'text': 'Đã bán 3', 'value': 3}",sach_lichsu_dialy,
190404319,ĐẢNG CỘNG SẢN VIỆT NAM Lãnh Đạo Kháng Chiến Chống Thực Dân Pháp Xâm Lược (1945 - 1954) (Sách chuyên khảo),,available,"

",105000,0,105000,0,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",sach_lichsu_dialy,Bìa mềm
185096907,Lịch Sử Việt Nam 1954-1975,,available,"Khoảng thời gian hơn 2 thập kỷ, từ năm 1954 đến 1975, là thời kỳ đặc biệt trong lịch sử dân tộc nói chung và lịch sử Việt Nam hiện đại nói riêng. Đây là thời kỳ đất nước bị chia cắt làm 2 miền và...",31000,0,31000,0,0.0,0,"{'text': 'Đã bán 1', 'value': 1}",sach_lichsu_dialy,
